               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 144,             0.02203,            0.025545,           0.0026576,             0.81017,             0.77139,             0.75248,             0.48983,            0.034592,            0.030818,            0.010589,           0.0029215,           0.0029215,           0.0029215
                 145,            0.021049,            0.022627,           0.0023252,              0.7787,             0.79519,             0.74466,             0.49839,            0.035582,            0.030897,            0.010369,            0.002872,            0.002872,            0.002872
                 146,            0.024267,              0.0262,           0.0026739,              0.8408,             0.73877,             0.74355,             0.49349,            0.034619,            0.031114,            0.010567,           0.0028225,           0.0028225,           0.0028225
                 147,            0.019813,            0.022925,           0.0026528,             0.83501,             0.74359,             0.74458,             0.49543,            0.035411,            0.031432,            0.010379,            0.002773,            0.002773,            0.002773
                 148,             0.02226,            0.025193,           0.0022287,             0.83282,             0.75354,              0.7388,             0.47837,            0.034795,            0.031603,            0.010433,           0.0027235,           0.0027235,           0.0027235
                 149,            0.021745,            0.025631,           0.0022996,               0.818,             0.74568,             0.73946,             0.48574,            0.035034,            0.031601,            0.010251,            0.002674,            0.002674,            0.002674
                 150,            0.022251,            0.022865,           0.0025534,             0.83334,             0.72889,             0.73962,             0.49138,            0.034595,            0.031596,            0.010313,           0.0026245,           0.0026245,           0.0026245
                 151,            0.023009,             0.02877,           0.0029436,             0.83032,             0.72861,             0.73072,             0.48364,            0.034696,            0.031469,            0.010575,            0.002575,            0.002575,            0.002575
                 152,            0.020505,            0.025036,           0.0022531,             0.77327,             0.74894,             0.72669,             0.48667,            0.034747,             0.03187,            0.010833,           0.0025255,           0.0025255,           0.0025255
                 153,            0.020905,            0.024224,           0.0030738,             0.80296,              0.7202,             0.71931,             0.48187,            0.035072,            0.031833,            0.011237,            0.002476,            0.002476,            0.002476
                 154,            0.021056,            0.025657,           0.0030291,             0.82471,             0.71772,             0.72293,             0.47626,            0.034424,            0.032183,            0.011241,           0.0024265,           0.0024265,           0.0024265
                 155,            0.019575,            0.023515,           0.0028156,             0.83278,             0.69667,             0.72863,             0.48397,            0.034656,            0.032138,            0.011333,            0.002377,            0.002377,            0.002377
                 156,            0.020716,            0.026881,           0.0023028,             0.81788,             0.71111,             0.72817,             0.47594,            0.034369,            0.032233,            0.011345,           0.0023275,           0.0023275,           0.0023275
                 157,            0.021575,            0.024294,           0.0025479,             0.85038,             0.72671,             0.72385,             0.48203,            0.035059,            0.032275,            0.012006,            0.002278,            0.002278,            0.002278
                 158,            0.022473,            0.027587,           0.0028919,             0.79646,             0.75378,             0.71816,              0.4774,            0.034365,            0.032141,            0.012136,           0.0022285,           0.0022285,           0.0022285
                 159,            0.021538,            0.026214,           0.0041248,             0.77679,             0.75301,             0.71968,             0.48102,            0.034646,            0.032014,            0.012554,            0.002179,            0.002179,            0.002179
                 160,            0.021524,            0.025536,            0.003589,             0.82536,             0.69216,             0.72674,             0.48397,            0.034193,             0.03184,            0.012718,           0.0021295,           0.0021295,           0.0021295
                 161,            0.021576,            0.025471,           0.0026077,             0.79676,             0.71782,              0.7285,             0.48307,             0.03443,            0.031543,            0.012962,             0.00208,             0.00208,             0.00208
                 162,            0.020381,            0.023414,           0.0034562,             0.74712,             0.78516,             0.72749,              0.4767,            0.034566,             0.03164,            0.013238,           0.0020305,           0.0020305,           0.0020305
                 163,            0.019572,            0.022323,           0.0039997,             0.73439,             0.79365,             0.73882,             0.48116,            0.034578,            0.031694,            0.013802,            0.001981,            0.001981,            0.001981
                 164,            0.019599,            0.022858,           0.0027459,             0.74733,             0.79365,             0.74012,             0.47852,            0.034725,            0.031772,            0.014068,           0.0019315,           0.0019315,           0.0019315
                 165,             0.01904,            0.023699,           0.0023403,             0.74955,             0.79333,             0.74177,             0.48869,            0.034424,            0.031514,            0.014193,            0.001882,            0.001882,            0.001882
                 166,             0.02087,            0.025656,           0.0035941,             0.77907,             0.75549,             0.74172,             0.48184,            0.034292,            0.031483,            0.014193,           0.0018325,           0.0018325,           0.0018325
                 167,            0.020955,            0.022284,           0.0023297,             0.77829,             0.75552,             0.74392,             0.48397,            0.034813,            0.031641,            0.013976,            0.001783,            0.001783,            0.001783
                 168,            0.020358,            0.021106,           0.0027412,             0.77797,             0.75145,               0.738,             0.48828,            0.033988,            0.031789,            0.013933,           0.0017335,           0.0017335,           0.0017335
                 169,            0.019358,            0.025537,           0.0026285,             0.77651,             0.75341,              0.7405,             0.48607,            0.033804,            0.031764,            0.014109,            0.001684,            0.001684,            0.001684
                 170,            0.017777,            0.023952,           0.0025971,             0.82723,              0.7159,             0.73923,             0.47946,            0.034138,            0.031982,            0.014513,           0.0016345,           0.0016345,           0.0016345
                 171,            0.018975,            0.023461,           0.0031958,             0.78006,             0.73968,              0.7363,             0.48997,            0.034252,            0.032152,            0.014599,            0.001585,            0.001585,            0.001585
                 172,            0.018213,            0.025144,           0.0029433,             0.82237,             0.71553,             0.73464,             0.48627,            0.033881,            0.032446,            0.014598,           0.0015355,           0.0015355,           0.0015355
                 173,            0.018423,            0.021529,            0.003113,             0.82217,             0.71501,             0.71831,             0.48205,            0.034334,            0.032452,            0.014636,            0.001486,            0.001486,            0.001486
                 174,            0.017629,            0.022766,           0.0023525,             0.79296,             0.73963,             0.72841,             0.48277,             0.03366,            0.032294,            0.014559,           0.0014365,           0.0014365,           0.0014365
                 175,             0.01859,             0.02107,           0.0022107,             0.79739,             0.73917,             0.72861,             0.49118,             0.03395,            0.032273,            0.014347,            0.001387,            0.001387,            0.001387
                 176,            0.018812,              0.0215,            0.002105,              0.7989,             0.73868,             0.73521,             0.49171,             0.03378,            0.032488,              0.0145,           0.0013375,           0.0013375,           0.0013375
                 177,            0.019972,            0.024534,           0.0023642,             0.79714,             0.73968,             0.73721,             0.49125,            0.033787,             0.03257,             0.01437,            0.001288,            0.001288,            0.001288
                 178,            0.018634,            0.023381,           0.0023038,             0.82497,             0.71649,             0.73881,             0.48909,            0.033506,            0.032621,            0.014339,           0.0012385,           0.0012385,           0.0012385
                 179,            0.018012,            0.023606,            0.003251,             0.82344,             0.71746,             0.73898,             0.49702,            0.033663,            0.032686,             0.01443,            0.001189,            0.001189,            0.001189
                 180,            0.018176,            0.024178,           0.0025196,             0.72334,             0.80951,             0.74052,             0.49649,            0.033365,            0.032675,            0.014298,           0.0011395,           0.0011395,           0.0011395
                 181,            0.019106,            0.022425,           0.0025886,              0.7409,             0.79365,             0.74095,             0.49997,            0.033223,            0.032572,            0.014279,             0.00109,             0.00109,             0.00109
                 182,            0.019818,            0.023265,           0.0026009,             0.76699,             0.78722,             0.74073,             0.49048,            0.033267,            0.032658,            0.014408,           0.0010405,           0.0010405,           0.0010405
                 183,            0.019418,            0.025293,           0.0023056,             0.84307,              0.7272,             0.74257,             0.48707,            0.033188,            0.032774,            0.014302,            0.000991,            0.000991,            0.000991
                 184,            0.019573,            0.024551,           0.0033209,             0.77877,             0.77143,              0.7425,             0.49581,            0.033196,            0.032662,            0.014067,           0.0009415,           0.0009415,           0.0009415
                 185,            0.019289,            0.023632,           0.0024729,             0.78218,             0.77135,             0.74765,             0.49507,             0.03322,            0.032633,            0.014011,            0.000892,            0.000892,            0.000892
                 186,            0.017918,            0.023389,           0.0022791,             0.78262,             0.77143,             0.74878,             0.49321,            0.033121,             0.03259,            0.013978,           0.0008425,           0.0008425,           0.0008425
                 187,            0.018419,            0.023638,           0.0030277,               0.853,             0.73364,              0.7488,             0.49122,            0.033231,            0.032635,             0.01402,            0.000793,            0.000793,            0.000793
                 188,            0.017828,            0.022774,           0.0025193,             0.85271,             0.73626,             0.75136,             0.49943,            0.033205,            0.032591,            0.013844,           0.0007435,           0.0007435,           0.0007435
                 189,            0.016404,             0.02318,           0.0024526,             0.84117,             0.73641,             0.74544,             0.49453,            0.033179,            0.032539,            0.013874,            0.000694,            0.000694,            0.000694
                 190,            0.015986,            0.023255,           0.0021098,              0.8521,             0.73392,             0.75154,             0.49978,             0.03317,            0.032488,             0.01392,           0.0006445,           0.0006445,           0.0006445
                 191,            0.016985,            0.020532,           0.0020232,             0.85264,             0.73287,             0.75212,              0.5001,             0.03301,            0.032363,            0.013928,            0.000595,            0.000595,            0.000595
                 192,            0.019102,            0.023973,           0.0024243,             0.80435,             0.77143,             0.75285,             0.49947,            0.032944,            0.032265,            0.013979,           0.0005455,           0.0005455,           0.0005455
                 193,            0.016438,            0.023824,           0.0015488,             0.80458,             0.77114,               0.753,             0.49902,            0.032952,            0.032221,            0.014119,            0.000496,            0.000496,            0.000496
                 194,            0.018781,            0.025613,           0.0025129,             0.83733,             0.73951,             0.75332,             0.50092,            0.032901,            0.032191,            0.014042,           0.0004465,           0.0004465,           0.0004465
                 195,            0.015956,            0.020466,           0.0023368,             0.83944,              0.7397,              0.7521,             0.49922,             0.03283,            0.032137,            0.013903,            0.000397,            0.000397,            0.000397
                 196,            0.017715,            0.022713,           0.0025596,             0.86533,             0.72539,             0.75846,             0.50414,            0.032847,            0.032117,            0.013762,           0.0003475,           0.0003475,           0.0003475
                 197,            0.017778,            0.021606,             0.00206,             0.86447,             0.72822,             0.75889,             0.50081,            0.032907,            0.032165,            0.013496,            0.000298,            0.000298,            0.000298
                 198,            0.018062,            0.020626,           0.0031529,              0.8311,             0.74441,             0.74738,             0.49621,            0.032903,            0.032209,            0.013623,           0.0002485,           0.0002485,           0.0002485
                 199,            0.017096,            0.022218,           0.0020296,             0.82172,             0.75071,             0.74802,             0.49752,            0.032936,             0.03224,            0.013558,            0.000199,            0.000199,            0.000199
