               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.055981,            0.049108,            0.010843,             0.32575,             0.65238,             0.42875,             0.17102,            0.057192,            0.030012,            0.015328,           0.0082675,           0.0082675,           0.0082675
                  37,            0.054813,            0.043663,            0.011919,             0.40821,             0.70754,             0.54226,             0.18019,              0.0561,            0.032734,            0.013874,            0.008218,            0.008218,            0.008218
                  38,            0.050763,            0.046076,            0.011501,             0.39064,             0.51905,             0.46158,             0.22255,            0.059101,            0.030938,            0.013358,           0.0081685,           0.0081685,           0.0081685
                  39,            0.051726,            0.047247,             0.01082,              0.3448,             0.65887,               0.446,             0.15961,            0.057399,            0.030939,            0.012147,            0.008119,            0.008119,            0.008119
                  40,            0.056932,            0.038235,           0.0090991,             0.43029,             0.59048,             0.52835,             0.24706,            0.051526,            0.027424,             0.01237,           0.0080695,           0.0080695,           0.0080695
                  41,            0.046714,            0.044734,           0.0096084,             0.37121,             0.72063,             0.51088,             0.23219,            0.051685,            0.029834,            0.010867,             0.00802,             0.00802,             0.00802
                  42,            0.046099,            0.045954,           0.0083218,             0.54098,             0.58566,             0.52008,             0.25126,            0.051536,            0.029602,            0.010868,           0.0079705,           0.0079705,           0.0079705
                  43,             0.04788,            0.042494,           0.0079627,             0.39544,             0.61882,             0.46114,             0.17894,            0.050855,            0.031001,             0.01045,            0.007921,            0.007921,            0.007921
                  44,            0.046634,            0.041613,           0.0081619,             0.46056,             0.61437,             0.53582,             0.23364,            0.049239,            0.030104,            0.011605,           0.0078715,           0.0078715,           0.0078715
                  45,            0.045147,            0.047123,           0.0079592,             0.38135,             0.65917,             0.50441,             0.20795,            0.051749,            0.031843,            0.010047,            0.007822,            0.007822,            0.007822
                  46,             0.04548,            0.040619,           0.0060843,             0.43587,             0.60714,             0.49089,             0.20781,            0.046702,            0.030663,            0.012221,           0.0077725,           0.0077725,           0.0077725
                  47,            0.046067,            0.039529,            0.007907,             0.62229,             0.55125,              0.5726,             0.22867,            0.057687,            0.029274,             0.01344,            0.007723,            0.007723,            0.007723
                  48,            0.051756,            0.039854,           0.0081372,             0.51822,             0.50079,             0.46914,             0.23036,            0.057045,            0.032038,           0.0098403,           0.0076735,           0.0076735,           0.0076735
                  49,            0.057573,             0.03975,             0.00685,              0.5814,             0.66739,             0.58394,             0.27147,            0.048207,            0.031088,           0.0099486,            0.007624,            0.007624,            0.007624
                  50,             0.04546,            0.041492,           0.0074455,             0.64743,             0.65556,             0.62701,             0.29136,             0.04858,            0.031932,            0.010093,           0.0075745,           0.0075745,           0.0075745
                  51,             0.04464,            0.040706,           0.0076197,              0.5791,             0.64722,             0.62348,             0.31499,            0.045494,             0.03127,            0.010122,            0.007525,            0.007525,            0.007525
                  52,            0.041402,            0.037834,           0.0072541,             0.51253,             0.57279,              0.5107,             0.25946,            0.047304,             0.03219,           0.0095544,           0.0074755,           0.0074755,           0.0074755
